datetime,h,T,t_final,cav,path_following,delays,K,num_agents,trajectory_type,mean_mpc_time,max_mpc_time,consensus_time,du11
2026-03-14_03-40-50,0.05,1200,60,False,False,"[2.1, 1.3, 0.1, 3.5]",1,3,mixed,0.005308624903361003,0.012025594711303711,23.75,
2026-03-14_03-41-12,0.05,1200,60,False,False,"[2.1, 1.3, 0.1, 3.5]",2,3,mixed,0.005243365566868551,0.009770393371582031,10.65,
2026-03-14_03-41-26,0.05,1200,60,False,False,"[2.1, 1.3, 0.1, 3.5]",3,3,mixed,0.005904109681604979,0.00936436653137207,6.050000000000001,
2026-03-14_03-41-37,0.05,1200,60,False,False,"[2.1, 1.3, 0.1, 3.5]",4,3,mixed,0.006011545429741286,0.011393547058105469,4.3500000000000005,
2026-03-14_03-41-46,0.05,1200,60,False,False,"[2.1, 1.3, 0.1, 3.5]",5,3,mixed,0.005651610558021796,0.010675191879272461,3.5500000000000003,
2026-03-14_03-41-54,0.05,1200,60,False,False,"[2.1, 1.3, 0.1, 3.5]",10,3,mixed,0.006897318694326613,0.013985157012939453,2.4000000000000004,
2026-03-14_03-42-05,0.05,1200,60,False,False,"[2.1, 1.3, 0.1, 3.5]",15,3,mixed,0.007442214881559931,0.014808893203735352,4.15,
2026-03-14_03-42-15,0.05,1200,60,False,False,"[2.1, 1.3, 0.1, 3.5]",20,3,mixed,0.00830359141031901,0.017548799514770508,3.75,
2026-03-14_03-42-24,0.05,1200,60,False,False,"[2.1, 1.3, 0.1, 3.5]",25,3,mixed,0.008962788613013972,0.020920515060424805,2.5500000000000003,
2026-03-14_03-45-27,0.05,1200,60,False,False,"[2.1, 1.3, 0.1, 3.5]",1,4,mixed,0.005159013969240657,0.01410818099975586,59.1,
2026-03-14_03-45-55,0.05,1200,60,False,False,"[2.1, 1.3, 0.1, 3.5]",2,4,mixed,0.005462421547798883,0.011813879013061523,8.4,
2026-03-14_03-46-12,0.05,1200,60,False,False,"[2.1, 1.3, 0.1, 3.5]",3,4,mixed,0.00573337334458546,0.012690305709838867,4.65,
2026-03-14_03-46-24,0.05,1200,60,False,False,"[2.1, 1.3, 0.1, 3.5]",4,4,mixed,0.0057407928549725075,0.010451793670654297,3.45,
2026-03-14_03-46-36,0.05,1200,60,False,False,"[2.1, 1.3, 0.1, 3.5]",5,4,mixed,0.006111707152991459,0.01850581169128418,2.9000000000000004,
2026-03-14_03-46-54,0.05,1200,60,False,False,"[2.1, 1.3, 0.1, 3.5]",10,4,mixed,0.007333367735474974,0.014191389083862305,4.55,
2026-03-14_03-47-11,0.05,1200,60,False,False,"[2.1, 1.3, 0.1, 3.5]",15,4,mixed,0.008513445595660842,0.023871898651123047,4.15,
